title_ko,title_en,year,rating,date,review
오징어 게임,Squid Game,2021,9,,"I found the show to be fantastic, only ruined by the horrible VIP acting."
오징어 게임,Squid Game,2021,7,,"My God the actors who potrayed the VIP people cannot act. I cringed everytime they said a line. It felt like they were just reading them. Even the intonation was off. It was like when we were kids and had to read a play in class and we exagerated the intonation. Terrible, just awful."
오징어 게임,Squid Game,2021,9,,"Seriously. All things considered, they're a pretty small and self-contained part. The main characters were brilliant in their roles. I guess good actors figured that having parts where they're wearing masks the whole time wouldn't get them much exposure. The pacing and character development were superb."
오징어 게임,Squid Game,2021,8,,"The VIPs once again are execreble actors. The gravitas and emotion of the show are turned farcical as soon as these rejects from every grade 7 play start talking. Even their gestures are cringe worthy. Non English speaking directors can not distinguish bad acting from good in foreign actors. Test this theory on any film made anywhere at any time in a non English speaking country, which contains an ""American"" in it. Japanese flicks are notorious for this, even Kurosawa. Break out the ham. I can imagine the ads run in Seoul papers: ""Foreign English speaking actors needed."" And since last time I checked Seoul isn't L. A., the pool of trained, good, professional actors must run at about ZERO candidates. Show is great otherwise: The contrast between the quality of acting in these cheesy foreigners and the Korean cast couldn't be more obvious. LA London Toronto and Vancouver have loads of actors serving table who would be great. Think about it guys."
오징어 게임,Squid Game,2021,9,,"Just watched whole 9 episodes and my favorite was the 6th, Gganbu. Not perfect nor a masterpiece, but this is very well made and provides a certain level of emotional experience. The overall show was far beyond things that were shown in trailer. Very well directed, performed, and finding its own unique points from the genre mixture of various references such as Gambling Apocalypse : Kaiji, Battle Royale, and so on. Just hope all others enjoy this show not only in Korea but also everywhere!  Ps. Even to Korean ears, VIPs' English conversations were not well written nor performed. I think the drama could stand well enough without their presence and save the budget."
오징어 게임,Squid Game,2021,8,,"After hearing about all the hype and seeing it was one of the most watched series in the entire world I finally found time to watch Squid Game. I have to admit that I had fun watching it and was very entertained throughout the entire season. It's about hundreds of contestants (who are all down on their luck and need money) that are asked to play children's games for an shot at winning a lot of money, 45.6 billion won (about 33 million dollars). The only thing is these children games are now all deadly and the last contestant standing wins all the money. It will pull you into its world and before you know it you'll be hooked. It's a thriller with lots of twists and lots of violence. This is a show that will stay in your mind long after you watched it. I know it's already been renewed for another seasons so I hope they can keep the same magic they had for season one."
오징어 게임,Squid Game,2021,,,"Comparisons to Season 1 are nonsensical. Season 1 was an original concept that stood and succeeded on its own, which cannot be the case for subsequent seasons.  The best thing about Season 2 is the acting. The cast is absolutely great! Where Squid Game 2 feels lacking, is in its refusal to resolve ANY of the multiple threads in this season. There are many ways to build suspense, but the laziest one is where you just refuse to answer any questions you raised for an entire seasons, leaving it to be addressed in Season 3. It is quite evident that the show is now a lot less interested in telling a satisfying story and more invested in stretching the franchise into a multi-season subscription-retention machine."
오징어 게임,Squid Game,2021,8,,"For someone who has seen Alice in Borderland and loved it, I see this series as a more mature and rawer version, without fantasies. Criticism of the capitalism of today's society, ironic how it turned out, becoming everything it criticized.  Decent 8/10."
오징어 게임,Squid Game,2021,,,"I think it's really good show but the VIP acting is horrible. Seems rushed and no quality.  Slowness to find Truth on the boat team.  Very rushed acting and quality. Looks like Ai is playing big part of it.  When Squid Game premiered on Netflix in 2021, it quickly became a global phenomenon-and for good reason. The South Korean series, created by Hwang Dong-hyuk, is more than just a dystopian survival drama. It's a razor-sharp commentary on capitalism, human behavior, and the moral cost of desperation. While many have already praised its thrilling plot and visual style, Squid Game stands out for its meticulous attention to quality-both in storytelling and production."
오징어 게임,Squid Game,2021,9,,"Squid Game. Wow.  Korean.  Best description? Uncomfortably genius!  (Kind of disturbing - small warning but still)  I mean there are some elements of The Game and Hunger Games, but this is bigger, more catastrophic in a different way, more clever, plays on psychological aspects, with a touch of closeness between some participants. Its intensely catchy and totally insane.  Its set in a today's society with participants being people in economic trouble who owes a lot of money, mostly from gambling, and about their desperation. Great actors too!!  They even include a very dark business of todays world - but I wont reveal anything here.  Although its brutal - its more brutal in what's actually going on, and what's happening - than being graphically brutal.  And you will sit there and feel lots of things - scared and somewhat freaked out as well, and as I said: its Uncomfortably geniusly made in my opinion.  If you're looking for something different that will get your HR rising, try this one! *Handclaps*"
