site,title_ko,title_en,year,rating,date,review
RT,폭싹 속았수다,When Life Gives You Tangerines,2025,positive,Aug 15,"With IU playing not one but two central characters, the series’ success hangs on her performance and she more than lives up to the task."
RT,폭싹 속았수다,When Life Gives You Tangerines,2025,positive,Jun 24,This slow-burning love story told over seasons of life is worth tuning in for.
RT,폭싹 속았수다,When Life Gives You Tangerines,2025,positive,Apr 28,"""When Life Gives You Tangerines"" reflects on what it means to be a woman in South Korea. IU and Park Bo-gum star in this nuanced slice-of-life K-drama."
RT,폭싹 속았수다,When Life Gives You Tangerines,2025,positive,Apr 17,"When Life…is one of those rare shows that stays with you much after it has ended. There is much that is compelling about this bittersweet, profound life, where the lows are low, and the triumphs bring so much joy."
RT,폭싹 속았수다,When Life Gives You Tangerines,2025,positive,Mar 9,"There’s nothing inherently wrong with When Life Gives You Tangerines, but your enjoyment of the series will fully depend on your tolerance of shows that are more dependent on slice-of-life stories than plot and conflict."
RT,폭싹 속았수다,When Life Gives You Tangerines,2025,positive,Mar 7,"Our Stalwart and Sassy Couple has a long way to go...The labors Ae-sun and Gwan-sik endure are bittersweet. I cried as much as I giggled, and I hope it’s the same for you."
RT,폭싹 속았수다,When Life Gives You Tangerines,2025,positive,Mar 7,"To inspire hope in dire circumstances is always a necessary message to take away. In When Life Gives You Tangerines, this hope drives the perseverance of IU’s Ae-soon and Park Bo-gum’s Gwan-sik against all odds."
RT,폭싹 속았수다,When Life Gives You Tangerines,2025,positive,Mar 7,"This is at heart an intimate and simple story, but one that is beautifully penned, exquisitely performed and vividly realised."
RT,오징어 게임 시즌 1,Squid Game Season 1,2021,positive,Jan 11,"The razor sharp critiques mesh surprisingly well with the entertaining and brutal games, creating a compelling and binge-worthy series that deservedly found a huge international audience."
RT,오징어 게임 시즌 1,Squid Game Season 1,2021,positive,Dec 26,Squid Game is a highly thrilling series that keeps you at the edge of your seat throughout.
RT,오징어 게임 시즌 1,Squid Game Season 1,2021,positive,07/26/2023,“Squid Game” is a social allegory informed by Korean history. There’s more to the game than gambling and violence.
RT,오징어 게임 시즌 1,Squid Game Season 1,2021,positive,03/31/2023,"There's some great stuff in the show. Episode 6, AKA the marbles game, is a masterclass and there are stellar performances too. Everyone in the main cast is incredible."
RT,오징어 게임 시즌 1,Squid Game Season 1,2021,positive,01/23/2023,"Squid Game leaves little to complain about and much to be impressed by. As long as the quantity of blood and the depths of the emotional turmoil the show displays aren’t too much for you, there is little reason not to give this gem a watch."
RT,오징어 게임 시즌 1,Squid Game Season 1,2021,positive,04/06/2022,"Squid Game is effective at pulling you in. By the middle of the first episode, viewers are plunged into a world that’s as repulsive as it is gripping, complete with masked villains and hapless antiheroes ..."
RT,오징어 게임 시즌 1,Squid Game Season 1,2021,positive,01/12/2022,Hypnotic. [Full review in Spanish]
RT,오징어 게임 시즌 1,Squid Game Season 1,2021,positive,01/12/2022,A dark and funny look at the well-known injustices of modern societies. [Full review in Spanish]
RT,오징어 게임 시즌 1,Squid Game Season 1,2021,positive,12/13/2021,"""Squid Game"" is deservedly one of the hottest shows of the year, and it highlights the good streaming can do in regards to breaking down cultural barriers and exposing viewers to masterworks from across the world they would otherwise not have access to."
RT,오징어 게임 시즌 1,Squid Game Season 1,2021,positive,12/13/2021,"""Squid Game'' is a well-produced thriller with a couple of decent twists and a whole lot of violence."
RT,오징어 게임 시즌 1,Squid Game Season 1,2021,positive,12/13/2021,"Its messages hit like a sledgehammer to the head, yet this vibrant, vicious series holds a surprisingly big heart at its core. A winning blend of spectacle and sentiment."
RT,오징어 게임 시즌 1,Squid Game Season 1,2021,positive,12/13/2021,"There is a visceral, primal, can't-look-away feeling to the nine-episode series, which traffics in gore but also deep psychological horror and disturbances."
RT,오징어 게임 시즌 1,Squid Game Season 1,2021,positive,12/13/2021,"This is a series that needs to be experienced, not discussed or analysed. It is one that will stay on in your mind long after you've watched it."
RT,오징어 게임 시즌 1,Squid Game Season 1,2021,positive,12/13/2021,It's not the kind of apocalypse story that longs for hopeful human resilience; it's most eloquent on the topics of financial despondence and weaponized nostalgia.
RT,오징어 게임 시즌 1,Squid Game Season 1,2021,positive,11/18/2021,"Compulsively watchable although, in the end, his dark dystopian story is lightened by transforming his protagonist into yet another hero. Forget it, Jake. It's Netflix."
RT,오징어 게임 시즌 1,Squid Game Season 1,2021,positive,11/13/2021,"All of it works as an exercise not just in survival of the fittest, but also as a stirring study of the whims of fortune, imbued with all that social commentary."
RT,오징어 게임 시즌 1,Squid Game Season 1,2021,positive,11/05/2021,"In the end, the devastation left by the game is tangible, leaving the winner in anguish and despair, while those at home are begging for more."
RT,오징어 게임 시즌 1,Squid Game Season 1,2021,positive,11/02/2021,A masterful show that truly changed the game in storytelling.
RT,오징어 게임 시즌 1,Squid Game Season 1,2021,positive,10/28/2021,"I'm almost halfway through its nine-episode run, and you know what? It is just about worthy of the hype."
RT,오징어 게임 시즌 1,Squid Game Season 1,2021,positive,10/28/2021,"Squid Game doesn't delve too deeply - and it's not subtle - but for a visual hammer-blow, this has made waves."
RT,오징어 게임 시즌 1,Squid Game Season 1,2021,positive,10/28/2021,Macabre and addictive. [Full Review in Spanish]
RT,오징어 게임 시즌 1,Squid Game Season 1,2021,positive,10/26/2021,"It's weird, but becomes increasingly hypnotising as the story progresses. And inevitably, there are plenty of loose ends left over to set up series 2."
RT,오징어 게임 시즌 1,Squid Game Season 1,2021,positive,10/23/2021,"The originality of the idea, the visual effects and of course, the acting are outstanding and incomparable to anything we have ever seen on television in our lives!"
RT,오징어 게임 시즌 1,Squid Game Season 1,2021,positive,10/23/2021,Netflix's breakout series depicts a world of violent and macabre individualism and desperation.
RT,오징어 게임 시즌 1,Squid Game Season 1,2021,positive,10/20/2021,"Squid Game is many things, but above all it's top-notch junk TV, to be binged with swivel-eyed abandon."
RT,오징어 게임 시즌 1,Squid Game Season 1,2021,positive,10/20/2021,"I don't know if anything is ""111 million views instantly"" good but at least Squid Game delivered on the hype, it's if nothing else a great TV series."
RT,오징어 게임 시즌 1,Squid Game Season 1,2021,positive,10/19/2021,"This very bingeable Korean horror drama may not be a feel good watch, but it sure does feel good to see how internationally popular it has become."
RT,오징어 게임 시즌 1,Squid Game Season 1,2021,positive,10/16/2021,"Directed by Hwang Dong-hyuk, the South Korean import is a diabolical, original parable about money and debt."
RT,오징어 게임 시즌 1,Squid Game Season 1,2021,positive,10/16/2021,"Series creator Hwang Dong-hyuk, who spent a decade trying to get the project green-lit and was once so desperate he sold his laptop for cash, will probably have less trouble getting his next script financed."
RT,오징어 게임 시즌 1,Squid Game Season 1,2021,positive,10/16/2021,"The South Korean TV sensation taps into the universal apprehensions of pressing debt, strained family relations and the longing for a better life."
RT,오징어 게임 시즌 1,Squid Game Season 1,2021,positive,10/16/2021,"For the most part, writer-director Hwang Dong-hyuk's mix of high and low elements like that works incredibly well."
RT,오징어 게임 시즌 1,Squid Game Season 1,2021,positive,10/14/2021,"It's an amazing piece of work, and I truly applaud creator Hwang Dong-Hyuk on making this mesmerizing, shocking and emotional show."
RT,오징어 게임 시즌 1,Squid Game Season 1,2021,positive,10/12/2021,"Hwang has created one of the most immersive television worlds since Game of Thrones, with relentless entertainment value and remarkably fleshed-out, sympathetically flawed characters. It's a provocative morality play."
RT,오징어 게임 시즌 1,Squid Game Season 1,2021,positive,10/12/2021,Totally bingeable.
RT,오징어 게임 시즌 1,Squid Game Season 1,2021,positive,10/09/2021,"This is a show that plays to Netflix's strengths. Only Netflix are able to have a show that can generate such a buzz globally in literally a matter of days, even if the show is not in the English language."
RT,오징어 게임 시즌 1,Squid Game Season 1,2021,negative,10/09/2021,"The low-effort concept [and] the pastel palette freckled with blood, Squid Game is a shallow story that uses a social issue as a platform for shocking violence. Yawn."
RT,오징어 게임 시즌 1,Squid Game Season 1,2021,negative,10/09/2021,"Like Joker, there's a having-it-both-ways insistence that a culture that could create violence is inherently sick and deranged, while playing out a wildly overstated version of sick derangement in a manner designed to be maximally tense and amusing."
RT,오징어 게임 시즌 1,Squid Game Season 1,2021,positive,10/08/2021,Hwang Dong-hyuk has done a great job of bringing this ghoulishly entertaining series to life
RT,오징어 게임 시즌 1,Squid Game Season 1,2021,positive,10/08/2021,"In the end, we have a great show about the core of humanity that should be making... Hollywood sweat right about now."
RT,오징어 게임 시즌 1,Squid Game Season 1,2021,positive,10/08/2021,"Squid Game is a rousing, disturbing, candy-coated, brain matter-splattered experience steeped in societal ennui."
RT,오징어 게임 시즌 1,Squid Game Season 1,2021,positive,10/08/2021,Squid Game has one of the best first episodes of television I've ever seen. It shows the results you can get by investing in programming from around the world.
RT,오징어 게임 시즌 1,Squid Game Season 1,2021,positive,10/08/2021,Is there a battle more emblematic of this moment than that between individual rights and social responsibilities?
RT,오징어 게임 시즌 1,Squid Game Season 1,2021,positive,10/07/2021,"Squid Game is smart, well-written, and has a talented cast that takes an often violent story and makes it emotionally resonate."
